latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.27427,124.10785,374.14,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,320.47,121.35,D
-20.27586,124.11798,345.46,1.08,1.04,2023-03-10,0134,T,90,6.1NRT,319.81,32.8,D
-20.29008,124.20908,342.71,1.07,1.03,2023-03-10,0134,T,87,6.1NRT,317.63,29.58,D
-20.28191,124.09612,372.48,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,318.79,118.71,D
-20.2835,124.10626,379.38,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,322.85,144.09,D
-20.28508,124.1164,342,1.08,1.04,2023-03-10,0134,T,86,6.1NRT,319.34,26.08,D
-20.28666,124.12653,333.85,1.07,1.03,2023-03-10,0134,T,58,6.1NRT,319.14,10.77,D
-20.29927,124.20751,336.65,1.07,1.03,2023-03-10,0134,T,65,6.1NRT,315.76,18.78,D
-20.28956,124.08436,347.14,1.08,1.04,2023-03-10,0134,T,91,6.1NRT,313.42,44.18,D
-20.29114,124.09451,388.52,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,322.72,191.81,D
-20.29272,124.10467,348.27,1.08,1.04,2023-03-10,0134,T,92,6.1NRT,320.02,41.44,D
-20.2943,124.11481,346.36,1.08,1.04,2023-03-10,0134,T,90,6.1NRT,319.64,35.59,D
-20.29588,124.12494,353.11,1.07,1.03,2023-03-10,0134,T,95,6.1NRT,320.12,48.5,D
-20.29745,124.13507,334.23,1.07,1.03,2023-03-10,0134,T,56,6.1NRT,318.15,10.65,D
-20.30846,124.20592,339.4,1.07,1.03,2023-03-10,0134,T,84,6.1NRT,315.56,23.63,D
-20.29879,124.08274,344.64,1.08,1.04,2023-03-10,0134,T,89,6.1NRT,317.46,39.74,D
-20.30037,124.0929,355.49,1.08,1.04,2023-03-10,0134,T,97,6.1NRT,320.39,62.61,D
-20.30195,124.10307,360.01,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,320.49,72.58,D
-20.30353,124.11322,347.8,1.08,1.04,2023-03-10,0134,T,92,6.1NRT,319.19,38.97,D
-20.3051,124.12334,357.69,1.07,1.03,2023-03-10,0134,T,98,6.1NRT,318.99,61.63,D
-20.30667,124.13348,338.29,1.07,1.03,2023-03-10,0134,T,64,6.1NRT,316.45,18.25,D
-20.30645,124.07099,347.47,1.08,1.04,2023-03-10,0134,T,91,6.1NRT,314.18,47.54,D
-20.30803,124.08117,410.54,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,326.76,341.67,D
-20.3096,124.09134,451.73,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,341.8,799.19,D
-20.31118,124.1015,361.61,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,322.87,79.06,D
-20.31275,124.11164,358.32,1.08,1.04,2023-03-10,0134,T,99,6.1NRT,319.15,67.51,D
-20.31432,124.12177,338.59,1.07,1.03,2023-03-10,0134,T,72,6.1NRT,315.22,21.09,D
-20.31589,124.1319,372.05,1.07,1.03,2023-03-10,0134,T,100,6.1NRT,317.06,112.81,D
-20.32683,124.20273,328.67,1.07,1.03,2023-03-10,0134,T,45,6.1NRT,316.04,6.69,D
-20.20697,123.37458,348.41,1.16,1.07,2023-03-10,0134,T,92,6.1NRT,313.5,49.71,D
-20.20869,123.38546,359.86,1.16,1.07,2023-03-10,0134,T,99,6.1NRT,314.86,83.29,D
-20.21041,123.39636,331.6,1.15,1.07,2023-03-10,0134,T,57,6.1NRT,311.31,15.51,D
-20.25927,123.70689,331.06,1.12,1.05,2023-03-10,0134,T,31,6.1NRT,311.33,14.88,D
-20.31411,124.0592,341.8,1.08,1.04,2023-03-10,0134,T,86,6.1NRT,305.89,36.46,D
-20.31569,124.0694,413.46,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,318.06,369.12,D
-20.31727,124.0796,451,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,337.76,791.97,D
-20.31884,124.08976,429.96,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,333.82,521.85,D
-20.32041,124.09991,386.61,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,319.02,182.05,D
-20.32197,124.11005,345.15,1.08,1.04,2023-03-10,0134,T,89,6.1NRT,314.48,37.11,D
-20.21478,123.36198,372.15,1.16,1.07,2023-03-10,0134,T,100,6.1NRT,314.01,128.01,D
-20.2165,123.37287,374.7,1.16,1.07,2023-03-10,0134,T,100,6.1NRT,311.66,140.04,D
-20.21822,123.38377,352.93,1.16,1.07,2023-03-10,0134,T,95,6.1NRT,309.22,60.65,D
-20.3265,124.07802,415.51,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,315.26,383.51,D
-20.32807,124.08818,403.3,1.08,1.04,2023-03-10,0134,T,100,6.1NRT,315.63,285.77,D
-20.3591,124.29002,335.86,1.06,1.03,2023-03-10,0134,T,80,6.1NRT,315.12,20.34,D
-20.21399,123.33297,327.76,1.16,1.07,2023-03-10,0134,T,43,6.1NRT,309.11,13.82,D
-20.21932,123.36576,383.38,1.16,1.07,2023-03-10,0134,T,100,6.1NRT,315.02,189.21,D
-20.22109,123.37662,348.33,1.16,1.07,2023-03-10,0134,T,92,6.1NRT,307.81,54.79,D
-20.22462,123.39841,339.76,1.15,1.07,2023-03-10,0134,T,84,6.1NRT,310.57,36.4,D
-20.22639,123.40929,328.32,1.15,1.07,2023-03-10,0134,T,62,6.1NRT,310.45,16.77,D
-20.27462,123.70845,337,1.12,1.05,2023-03-10,0134,T,81,6.1NRT,312.71,27.7,D
-20.2763,123.71896,353.16,1.11,1.05,2023-03-10,0134,T,95,6.1NRT,318.1,61.89,D
-20.27798,123.72945,347.14,1.11,1.05,2023-03-10,0134,T,91,6.1NRT,315.77,45.37,D
-20.22354,123.33125,326.87,1.16,1.07,2023-03-10,0134,T,43,6.1NRT,308.2,12.87,D
-20.22532,123.34221,328.64,1.16,1.07,2023-03-10,0134,T,54,6.1NRT,308.2,15.9,D
-20.22709,123.35315,355.44,1.16,1.07,2023-03-10,0134,T,97,6.1NRT,309.88,73.84,D
-20.22886,123.36405,374.58,1.16,1.07,2023-03-10,0134,T,100,6.1NRT,310.75,146.6,D
-20.23238,123.38583,359.03,1.15,1.07,2023-03-10,0134,T,99,6.1NRT,308.37,86.15,D
-20.23415,123.39672,327.83,1.15,1.07,2023-03-10,0134,T,17,6.1NRT,305.32,14.32,D
-20.284,123.70685,324.05,1.12,1.05,2023-03-10,0134,T,29,6.1NRT,310.39,8.83,D
-20.28568,123.71735,369.67,1.11,1.05,2023-03-10,0134,T,100,6.1NRT,315.74,116.19,D
-20.28735,123.72784,349.33,1.11,1.05,2023-03-10,0134,T,93,6.1NRT,315.27,50.93,D
-20.2907,123.74879,328.04,1.11,1.05,2023-03-10,0134,T,28,6.1NRT,314.38,10.79,D
-20.24015,123.37322,331.6,1.16,1.07,2023-03-10,0134,T,54,6.1NRT,304.83,20.83,D
-20.24191,123.38413,354.29,1.15,1.07,2023-03-10,0134,T,96,6.1NRT,306.2,71.12,D
-20.2984,123.7367,334.52,1.11,1.05,2023-03-10,0134,T,59,6.1NRT,313.13,20.08,D
